RegionName,City,State,Metro,CountyName,SizeRank,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
Northeast Dallas,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,1,299000,309000,325450,325000,335000,335000,325000,319000,330000,339900,349000,339995,343000,349900,355000,374900,379000,375000,379250,375000,374994.5,375000,374990,365000,380000,399000,399000,399949.5,399000,395000,389900,380000,379000,377250,375000,375000,375000,397987.5,399000,399950,399000,399000,399900,390000,394900,399000,399900,395000,390000,399900,399900,399900,399900,399000,395000,399000,399950,399456,395000
Maryvale,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,2,115000,116900,118000,122900,124500,127000,126000,130000,129990,130000,132000,135000,137800,139900,140000,139900,143000,144945,148850,149900,150510,152000,150000,151616.5,150000,154087,156825,159500,159900,163999,165000,165500,168950,167900,167000,167000,168000,170000,174500,175000,179000,180000,179900,184800,184950,185000,185000,185000,185000,186622,190000,192900,194500,193884,194900,197900,199000,199000,199900
Paradise,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,3,179000,179999,185000,185000,188000,189900,190000,190000,189998,195000,198000,198000,198000,198000,195000,199900,199999,209900,210000,217450,219900,219900,210000,215000,219500,220000,224900,229000,230000,235000,244000,248000,248900,248900,247500,249900,249767.5,246194,250000,253894,259900,263000,272250,275000,272500,270000,274000,273499.5,275000,272000,269893.5,270000,277700,275000,274949.5,274500,270000,270000,269500
Upper West Side,New York,NY,New York-Newark-Jersey City,New York County,4,,,,,,,,,,,,,,2100000,1916250,2.00E+06,1895000,1895000,1895000,1935000,1895000,1895000,1925000,1895000,1844500,1930000,1950000,1995000,1990000,1985000,1950000,1950000,1950000,1950000,1950000,1950000,1915000,1727500,1675000,1747000,1795000,1795000,1795000,1795000,1750000,1795000,1795000,1850000,1895000,1825000,1795000,1795000,1788000,1750000,1695000,1750000,1775000,1695000,1750000
South Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,5,315000,319250,315000,329000,329900,325000,329900,329450,335000,335000,339000,340000,349000,349500,350000,350000,359000,365000,375000,375000,379925,380000,385000,385000,390000,390000,399900,402329,419800,425000,429900,430000,439000,440000,445000,450000,455000,455900,455000,469450,479950,487500,485000,482500,490000,489450,479990,485000,479900,475000,490000,499000,499000,498844,499000,512500,525000,528000,529000
Upper East Side,New York,NY,New York-Newark-Jersey City,New York County,6,1675000,1695000,1699000,1735000,1695000,1650000,1650000,1650000,1750000,1795000,1795000,1800000,1995000,1995000,1799000,1920000,1815000,1775000,1750000,1750000,1750000,1750000,1775000,1782500,1775000,1795000,1775000,1799000,1795000,1800000,1795000,1795000,1799000,1800000,1875000,1895000,1845000,1644000,1600000,1650000,1649750,1595000,1527500,1499250,1540000,1500000,1495000,1500000,1500000,1550000,1580000,1555000,1595000,1599000,1500000,1495000,1475000,1499500,1595000
Sunrise Manor,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,7,126000,128000,128900,129425,135000,135000,135000,139600,139990,139500,139000,139990,138894,142000,143000,145000,147500,149998,154375,155000,155000,159000,159900,159900,163450,165000,169999,172000,173500,175000,180000,179999,180000,185000,186000,185000,185000,189950,199000,199900,199945,210000,215000,224900,224900,219894,217250,218999.5,220950,225000,224460,225000,225900,225000,226450,225000,224999,225900,225000
Spring Valley,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,8,215000,224000,223000,231200,238900,232990,239500,235000,237500,240000,240000,245000,244990,240000,249000,245000,249990,255000,259000,259900,265000,263200,265000,264999.5,265000,270000,274900,275000,278944,287690,291745,294900,299900,298950,297490,294999.5,294999.5,299900,294900,295000,299694,299999,304700,315000,317999.5,318000,315000,315000,309450,310000,3.00E+05,3.00E+05,309490,310000,310495,310000,309987,310000,314750
Southeast Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,9,270000,275000,279000,270000,274900,275000,279000,289000,289900,295000,295000,299900,299900,3.00E+05,3.00E+05,299945,309500,303949.5,319500,325000,329450,329000,325000,325000,329900,330000,335000,339000,339974.5,340946.5,349450,349900,349000,350000,350000,350000,369000,374900,370000,375000,375000,375000,389000,390000,391997.5,398000,395000,395125,399000,399900,410000,402950,409949.5,410000,412000,416500,415000,415000,415000
East New York,New York,NY,New York-Newark-Jersey City,Kings County,10,335000,354500,360000,359499.5,350000,387000,395000,397000,4.00E+05,423984.5,399000,429000,389000,415000,425000,425000,425000,449000,439000,439000,439000,439000,440000,449000,482500,479500,489000,489000,450000,449000,469000,475000,492499.5,469000,444000,439000,449800,434000,434000,439000,435260,479995,499000,480000,482499.5,498500,499000,498500,499900,499947.5,525000,526999.5,525000,499450,499000,482000,472450,489499.5,489000
Paradise Valley,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,11,299900,299900,299999,302000,310000,310000,3.00E+05,319900,319900,314900,318500,310000,317000,317000,319000,334900,335000,329900,329900,326000,322900,325000,325000,325000,323506,324700,325000,332300,337450,337000,339900,336150,339450,330000,325713,326000,328000,339700,349900,359900,350000,345000,345000,339900,339000,349000,345000,345000,349900,355903.5,359900,359900,350950,359600,350000,350000,355000,359900,365000
Washington Heights,New York,NY,New York-Newark-Jersey City,New York County,12,487500,485000,495000,479000,499000,499000,510000,499000,495000,469000,499000,499250,515000,522000,535000,549500,550000,555000,550000,559000,549250,565000,569500,563000,561000,567500,575000,568800,575000,568800,566300,567600,577000,598225,589500,576500,584500,589000,589000,599950,599000,599000,589500,589000,589000,577000,585000,576000,550000,550000,562500,525000,527000,517000,525000,525000,561500,565000,565000
Deer Valley,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,13,214900,214000,214000,219900,223900,220000,215000,224450,224250,225000,225000,224900,221950,225000,229000,230000,235000,239900,236000,232250,235000,237900,239500,239900,239900,239000,239900,245000,249900,254450,259900,259000,255000,250000,250000,250000,255000,250000,250000,260000,260000,260000,259900,259900,260000,262000,259900,259900,260000,261000,268450,269900,269994.5,272250,269900,268749,268000,265000,269000
North Mountain,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,14,162000,160750,165000,170000,175000,177500,179000,179000,176500,180000,179000,179000,180000,179900,189000,189900,194900,193910,195000,197600,195000,195000,195000,194949.5,199000,2.00E+05,199900,210000,219250,219000,218000,217900,219900,219900,220000,219600,224900,225000,229900,235000,237500,234900,235000,235000,234900,235000,234000,232000,232500,234000,238500,240000,245000,246500,245000,240000,239900,240000,240550
Astoria,New York,NY,New York-Newark-Jersey City,Queens County,15,547000,540000,559000,580000,599000,649000,690000,660000,695000,695000,695000,678020,669000,725000,660000,674010,690000,690000,699000,777000,699000,712000,712000,744650,737900,735000,741944,737000,715000,699000,690060,7.00E+05,684275,692055,690060,694050,702780,688925,711160,715500,715500,715000,715000,699500,710000,697000,704500,680000,677500,704500,710000,723247.5,736500,729000,729497.5,699999.5,699000,685000,675000
Far North,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,16,350000,350000,360000,354900,369000,375000,360000,350000,359950,360000,369450,374700,389000,399900,410000,398500,398250,395000,389450,385000,389900,385000,391500,385000,399900,422200,425000,449000,436495,440990,429000,429000,425000,425000,423445,429950,435000,440000,439000,447000,439500,425000,430000,435000,439000,431450,435995,430000,435995,449000,449000,449500,439925,439900,425000,416500,409900,399900,399900
Bedford Stuyvesant,New York,NY,New York-Newark-Jersey City,Kings County,17,,,,,,,,,,,,,,,,,,,,,,,,,,1322000,1247500,1062000,899000,899000,899000,934076,925000,925000,925000,925000,899000,899000,877000,890750,899000,865000,850000,845000,825400,832400,779085,752500,750000,750000,769000,799000,795000,799000,832000,839000,841267,850000,850000
Williamsburg,New York,NY,New York-Newark-Jersey City,Kings County,18,,,,1337000,1300000,1250000,1200000,1199000,1200000,1250000,1293600,1250000,1175000,1200000,1290000,1200000,1200000,1199000,1150000,1149000,1150000,1175000,1195000,1125000,1127500,1150000,1150000,1149499.5,1100000,1100000,1095000,1135000,1154500,1177500,1142750,1100000,1095000,1133000,1295000,1195000,1199950,1225000,1195625,1195000,1199000,1200000,1200000,1250000,1265000,1249000,1200000,1197092.5,1199000,1250000,1250000,1199500,1199000,1200000,1245000
Hollywood,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,19,722320,719990,737245,726500,719000,715000,749000,763495,722000,799949.5,805000,849000,839000,809000,755000,749500,731250,749000,799000,799000,758000,740000,747000,727000,732499.5,754750,815000,770000,778000,799000,837000,859000,849750,850000,849000,929000,899000,927000,899000,869000,891425,884000,949000,950000,969000,969000,950000,975000,992000,975000,972000,999000,999000,1025000,999750,995000,1.00E+06,999000,979000
Camelback East,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,20,347950,349000,349900,349450,364900,360000,343950,369900,375000,372400,379750,385000,399000,399000,395450,4.00E+05,399000,399000,390000,385000,389900,420000,425000,415000,412500,424900,450000,439950,425905,429000,414900,4.00E+05,415000,425000,419900,435000,439450,445000,436821.5,428500,435000,429000,420000,425000,425000,429970,425500,429000,435000,425000,425000,430000,429400,430000,429900,439000,464000,469249.5,463000
Flatbush,New York,NY,New York-Newark-Jersey City,Kings County,21,,,,,,,445000,440000,425000,450000,450000,449000,5.00E+05,479500,456000,462500,475000,469000,475000,469000,499000,479500,499000,479500,525000,537000,525000,540000,535000,575000,575000,579000,580000,585000,575000,579000,578888,572500,550000,575000,575000,550000,575000,575000,550000,550000,549000,554000,549000,549000,562500,565000,569000,550000,555000,575000,580000,559000,549000
Southeast Dallas,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,22,84650,84900,86000,95000,90500,92500,91900,94900,99500,99900,101950,105000,105000,107500,110000,109900,105000,109949,112900,114900,110000,113000,114950,118950,119900,124900,127900,134900,139000,141950,139900,140000,140000,142900,139900,139900,135000,139900,139900,140000,145000,145950,149950,158475,165000,165000,164900,165000,165000,166900,172000,179000,182000,184900,184950,186900,185000,184900,174900
Alhambra,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,23,154950,159900,164949.5,179000,179500,171000,172000,169500,169900,175000,176900,179000,187000,188000,189900,194900,199000,190000,190000,190500,199000,194900,187000,185000,192500,197499,206900,210000,208500,209700,209700,214750,209900,215000,220000,219000,215000,219900,228900,235000,239000,229900,229000,225000,228500,229700,230000,225000,228888,235000,237700,236000,238400,235000,235000,234900,230000,229000,226000
Crown Heights,New York,NY,New York-Newark-Jersey City,Kings County,24,,,,,,725000,725000,729500,750000,759000,765000,765000,780000,849500,999000,954360,982000,950000,950000,988500,995000,975000,1007000,982000,995000,940000,899000,879500,869000,850000,849500,849000,865000,850000,865000,875000,812500,830000,818939,795000,810000,799000,820000,850000,799000,737000,699500,699000,699450,669500,715000,798000,8.00E+05,912500,899000,913568,897000,877000,950000
Jamaica,New York,NY,New York-Newark-Jersey City,Queens County,25,378388.5,389000,389000,379999.5,389000,390000,389999,389000,389000,395000,389999,399000,419000,419500,422499.5,424999,425000,429000,429000,429000,439000,439000,449000,458500,459000,459000,459000,449999.5,450000,450000,449000,449000,449000,459450,469000,469999,479000,479999,475000,475000,475900,489000,499000,499000,489299,489000,479000,483850,489299,489499.5,499000,499999,499000,495000,489000,499000,499949.5,5.00E+05,513450
Harlem,New York,NY,New York-Newark-Jersey City,New York County,26,790000,785000,795000,850000,795000,749000,787000,799000,889000,899000,902000,899000,875000,880000,825000,899000,845000,899000,890000,850000,878000,875000,849500,816500,837000,932000,929000,959000,996000,945000,929000,849000,9.00E+05,899000,899000,875000,869000,777500,847000,877000,877000,875000,890000,850000,890000,895000,899000,895000,885000,860000,895000,899000,899000,897000,850000,850000,849000,850000,849000
Roosevelt,Fresno,CA,Fresno,Fresno County,27,183950,185000,178339,175000,187372,203495,206945,196750,193000,193000,180000,190000,180000,175500,189900,178250,210000,209999,204750,2.00E+05,2.00E+05,199900,178950,179000,195000,190375,205000,204900,215000,215000,235000,239500,244900,249950,254999,240000,238431.5,224950,229997.5,240000,249900,239900,247500,248250,238400,229995,234450,241450,226999.5,219900,240000,249000,249000,250000,234950,235000,245850,244450,244000
East Side,El Paso,TX,El Paso,El Paso County,28,135500,137000,139500,144925,149000,147000,145000,145000,149000,149000,147000,144000,147245,147745,149000,151200,154900,152000,151975,152000,154990,156750,155000,155000,155000,155000,155000,155767.5,158900,160000,155000,160000,159897.5,160000,159000,157000,149950,149974.5,151100,153000,149950,155000,152270,155000,152000,156350,155566.5,157290,159900,157749.5,149974.5,157595,160000,159900,161250,160000,159950,157500,159250
Enterprise,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,29,234999,236975,240000,249000,255000,252200,255000,259000,257000,259250,264900,263189,265000,254995,265000,269888,276490,279000,281500,282445,289990,288000,290000,290000,294900,295620,296895,301500,305000,312495,319990,322970,329000,325000,326990,327250,337970,336500,334000,330000,330000,322500,328000,335000,339990,345000,345000,340000,339900,335000,335000,338400,338136.5,339890,339999,340000,339900,349900,347000
Williamsbridge,New York,NY,New York-Newark-Jersey City,Bronx County,30,342000,384000,389000,389000,389000,399000,395000,399000,389000,379000,379000,378990,385000,385000,385000,377000,379999.5,379999,387000,387000,387000,392000,389000,399000,399000,399000,387000,379000,352550,349999.5,385000,375000,359000,365000,359000,375000,347500,364966.5,374950,333189,380291,392500,399000,397000,399000,399000,395000,399000,397000,399999,409000,425000,399500,399000,399000,399000,399000,399000,397000
East Harlem,New York,NY,New York-Newark-Jersey City,New York County,31,809000,899000,928400,944800,972725,895000,895000,895000,879000,837340,835000,843670,804650,799000,825000,760000,750000,770000,799000,788184,827000,810000,829000,825000,867450,848225,965000,895000,925000,875000,880000,899000,939000,925000,895000,895000,895000,895000,862250,889000,880000,895000,895000,888500,895000,875000,850000,850000,825000,849500,830000,812500,825000,789250,790544.5,815000,788500,787330.5,775250
North Scottsdale,Scottsdale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,32,598000,619497.5,599900,615000,609000,625000,610000,600230,635000,650000,665000,659000,609500,650000,612997.5,639900,634500,646500,629000,627000,627497.5,617000,604995,639250,642000,643997.5,650000,666995,676750,688750,674500,659500,642450,645000,650000,665000,675000,678750,665974.5,669000,650000,639999.5,635000,635000,639945,625000,629999.5,637450,645000,649950,648500,648000,649950,669900,659000,649000,659900,658000,665000
South Mountain,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,33,168900,169950,174000,174900,175000,177605,180000,180000,185000,189500,186950,183000,189499.5,180000,184900,179000,179950,188250,192999.5,204950,204000,204900,197500,197600,199500,214900,211811.5,219245,221677,223000,223000,219900,219900,224900,220000,224900,220000,229000,229000,224999,225000,224950,220000,229450,225000,224900,224900,219900,219800,216400,225000,229900,229000,229900,229900,234300,230000,235000,238900
East San Jose,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,34,499000,526500,549878,550000,549944,549000,549888,550000,550000,550000,555000,549919,555000,558900,554399.5,560000,575000,595000,599168,609000,616750,599000,597800,6.00E+05,624500,637500,640000,645633,649000,639000,650000,650000,650000,662000.5,650000,679000,689999,720000,730000,754000,788444,760000,769000,765000,788000,772400,749999,750000,781944,768888,798000,810000,790000,762450,750000,750000,788888,780443.5,769900
Bushwick,New York,NY,New York-Newark-Jersey City,Kings County,35,844000,849499.5,850000,899000,879000,962000,899000,899000,899000,899000,899000,895000,895000,950000,995000,970000,950000,979500,949999,949999,869000,895000,899000,947000,959000,969000,949000,899000,857500,857500,835000,829999,790000,729000,695000,655000,690000,599000,599000,625000,642000,645000,645000,620000,599000,599000,608000,603025,599000,590000,589000,598500,598500,614500,627000,604000,622000,599000,609000
East Flatbush,New York,NY,New York-Newark-Jersey City,Kings County,36,399000,425000,425000,425000,449000,449250,459000,459000,459000,464500,459000,479000,479000,479000,499000,499000,499000,499000,519000,519000,502500,5.00E+05,499000,522000,525000,539000,549000,529000,529000,529500,525000,525000,525000,519000,508450,498000,515499.5,440000,471500,542000,549000,549499.5,554500,549999.5,549000,549000,550000,589497.5,565000,576000,565000,599000,592500,579000,579000,575000,575000,579500,579000
South Side,Corpus Christi,TX,Corpus Christi,Nueces County,37,218950,215000,225000,200262.5,206900,199900,198500,199900,199900,199900,199900,205000,205499.5,204950,215900,219500,215949.5,209900,211950,209900,209900,212900,214450,212000,214000,214900,212900,214900,213900,212500,214900,211350,209900,209900,210000,215000,219900,219450,219900,219999.5,222990,223000,222999,219900,219900,219900,217000,217000,215000,217000,219900,225000,225000,229900,229000,225900,224900,226494.5,229500
Alief,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,38,99994.5,99995,108000,105000,109550,106950,109000,110000,125000,128000,120000,125000,128000,128000,127000,129500,124900,124950,130000,129900,129950,135000,135000,129000,135000,139900,138000,135000,131000,136950,130000,135000,138000,139375,140000,148950,148000,146950,148900,154900,149700,149000,149400,151000,150000,142500,140000,140000,139950,134750,138000,138000,145000,149999.5,149999,149850,152434,152000,153950
Corona,New York,NY,New York-Newark-Jersey City,Queens County,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495000,502500,488444,495000,497000,480500,478000,488444,488000,499000,499000,494000,487000,429000,395000,435500,388888
East Memphis-Colonial-Yorkshire,Memphis,TN,Memphis,Shelby County,40,127900,128000,130000,144900,139900,145000,140000,134900,121900,119000,119950,117700,118900,119900,121825,129900,129900,139950,142000,139350,139000,138500,135000,134900,129500,129600,134500,142000,137000,142000,143250,149937.5,149000,158950,169900,154682.5,134900,139900,155000,167500,183800,189900,190000,186000,175000,169900,169250,168700,149950,167450,175000,172000,186950,189000,189900,189900,179700,192000,189900
Sunset Park,New York,NY,New York-Newark-Jersey City,Kings County,41,,,,,,,,,,,,,565000,540000,519000,5.00E+05,540000,528500,549500,550000,550000,550000,550000,550000,550000,550000,560000,578500,550000,535000,517500,515000,517500,550000,585000,575000,575000,570000,560000,584950,594450,572500,592450,597000,580000,574500,560000,580000,575000,567500,560000,565000,554000,552000,560000,552500,551000,529000,534500
Concourse,New York,NY,New York-Newark-Jersey City,Bronx County,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,282500,299000,307450,289000,285000,285500,289500,287250,289000,299000,269000,287000,297000,297000,315000,319000,302499.5,309900,325000,299999,299450,3.00E+05,3.00E+05
Bullard,Fresno,CA,Fresno,Fresno County,43,274950,280450,274900,267100,275000,274300,283650,284950,275000,266900,260000,261250,269900,275000,273000,275000,279950,275000,280000,279450,275000,275000,275000,285000,285000,265000,279900,288950,285675,285450,294700,298000,298950,301050,309475,315000,306700,299900,307450,314900,302500,311250,313850,311250,310000,312800,314999.5,315000,304949.5,299000,299999,305000,314997.5,310000,315000,319900,319725,320000,315950
Southwest Dallas,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,44,145000,147200,145000,150500,151000,153000,149900,153700,150000,156000,158700,150000,150000,148400,154998,165000,169900,175950,173400,173000,169999,179900,185000,179900,179900,199900,197644,199000,202500,205000,219900,217750,217750,224900,219900,217250,220000,229000,219900,225000,229900,234900,229900,225000,229900,229900,229900,229900,229000,237900,239000,239000,239000,239000,232250,232500,235000,230000,229450
Bensonhurst,New York,NY,New York-Newark-Jersey City,Kings County,45,662000,640000,692000,718000,708500,730000,696944,698888,714000,748000,713500,713500,699000,685000,688000,699000,768000,739000,669000,738500,738000,747888,668000,659000,682500,722000,725000,720000,725000,748000,799000,799000,758000,785500,750000,749000,743000,748500,743000,748000,748500,655900,659000,668000,672800,675000,680000,699000,732000,719000,704000,725000,709000,699000,699000,720000,709990,726500,709000
Central City,Corpus Christi,TX,Corpus Christi,Nueces County,46,84900,84500,85000,88250,89450,94500,89900,89900,94900,95000,95000,95000,98000,98500,109900,106000,108500,104000,103400,109900,109900,104950,106675,105000,99900,104950,1.00E+05,106082,109950,115000,114900,113450,110900,106900,109316,105000,109900,110000,112000,115000,103950,99900,99500,99700,105250,105000,102500,100950,105000,107525,111463,114900,118900,118450,119000,119450,115000,115000,116500
West San Jose,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,47,979000,994000,929000,943900,989889,1048944,996500,999000,999000,1045000,1049999,1010000,995000,1079888,1149000,1128444,1088888,1059400,1098950,999419,1090000,1099950,1115000,1099500,1100000,1098000,1149950,1149975,1195000,1197000,1199500,1283500,1224000,1198000,1199000,1265000,1395000,1398500,1388800,1391500,1438000,1399000,1449000,1479000,1399000,1395000,1395000,1338500,1445000,1436500,1449450,1470000,1488888,1378000,1299888,1319399.5,1299888,1238444,1199999
Elmhurst,New York,NY,New York-Newark-Jersey City,Queens County,48,,,,,,,,,,,380000,375000,385000,380000,380000,339000,333000,349444,375000,380000,399000,389500,399000,379000,389000,418000,399000,392000,399000,398000,387000,385000,406500,449000,449944,449000,444450,429000,460000,459500,530000,519500,499999,467000,498500,510000,545000,545000,530000,565000,568000,568800,568000,562900,545000,556000,535000,520000,524944
East,Arlington,TX,Dallas-Fort Worth-Arlington,Tarrant County,49,95000,95000,99250,99900,103400,105000,115000,115000,115000,118000,112000,115281.5,119950,119900,119900,119400,121700,122900,124900,125000,119900,123000,125000,125000,125000,129650,129995,139900,140000,144805,148000,145000,145999.5,149500,149900,151317,155000,151900,159000,160000,167000,167900,175000,174777,169000,167900,165000,167900,170000,174900,174995,175000,178000,180000,185000,185000,183900,190000,184950
South Scottsdale,Scottsdale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,50,349900,345000,346745,350000,349945,356000,359450,366250,369450,379900,379900,375000,375000,384250,399000,398610,397500,398610,395997.5,396995,399000,399000,399000,399000,409900,419900,419900,419900,414950,425900,415000,435000,439999,429900,440000,444500,445000,445000,440000,429900,434950,433950,428450,425000,424997.5,429000,439000,435000,450000,435000,449000,449250,465000,450000,449900,449500,449000,450000,466500
Blossom Valley,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,51,665000,678888,678000,685000,668500,695000,699999,699950,699250,694950,685000,673975,699000,699000,725000,745425,749475,749000,747166.5,745333,749888,757500,755000,755000,752500,763862,780000,782000,798000,8.00E+05,819944,809950,819000,835000,835000,874500,876507,879000,899000,924888,946500,944800,924888,899000,898000,898000,850000,873944,899000,918000,948900,949000,949999,932475,908000,899000,874999,850000,850000
North Long Beach,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,52,338000,342500,340000,340000,345900,345000,347450,354950,359900,359000,362500,367000,369000,374900,377000,375000,384949.5,384900,387000,397000,399000,399900,389500,389000,387000,399000,409900,419900,419900,424990,427000,438500,438950,449900,449900,450000,449900,446500,439900,447450,456900,469999.5,474750,475000,468900,469000,454000,469999.5,470000,475000,470000,475000,477000,480000,480000,474000,480000,485000,487000
Logan Square,Chicago,IL,Chicago-Naperville-Elgin,Cook County,53,319000,325000,309000,330000,329000,324900,324950,332450,344000,349450,349950,372000,390000,399900,399000,375000,375000,385000,389000,394500,399000,414950,443900,449000,449900,449000,419450,419450,399900,419900,424900,406450,409999,409999,399900,419000,427450,449000,415000,419250,425000,435000,441950,439900,448900,444900,439950,435000,449000,449900,435000,425000,425000,435000,429000,425000,424894,434900,435000
Sheepshead Bay,New York,NY,New York-Newark-Jersey City,Kings County,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000,585000,575000,575000,572500,549000,539000,569000,499000,534000,575000,575000,544000,487966,499000,481000,499000,499000,499000,499000,479000,499000,499000,499000,550000,550000,559000,550000,549000,539000
Soundview,New York,NY,New York-Newark-Jersey City,Bronx County,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000,225000,229000,239450,269000,296367.5,293000,293000,296367.5,310368.5,293000,293000,281000,293000,293000,272250,254000,269000,269000,249000,250000,293000,3.00E+05,3.00E+05,3.00E+05,3.00E+05,3.00E+05,3.00E+05,3.00E+05,299000,299500,294500
Willow Glen,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,56,799999.5,883944,899950,899000,898000,899000,918000,899000,899000,899869,899000,899000,948000,949500,998000,1050000,999000,998000,1025000,1036900,998800,1028000,998844,982000,974950,995000,1069000,1088000,1127475,1050000,1081500,1098000,1150000,1150000,1149888,1149000,1267000,1298000,1329000,1297000,1299000,1288888,1288900,1250000,1250000,1242000,1209000,1188000,1186500,1249000,1248500,1249000,1275000,1199000,1199000,1198000,1198800,1185000,1162500
Southeast,Arlington,TX,Dallas-Fort Worth-Arlington,Tarrant County,57,149900,157500,155000,155000,155000,159900,165000,165000,164900,163450,164900,160000,166500,165250,165000,169900,175000,175000,174945,175000,179000,179000,175000,175000,179900,179950,184900,185000,189900,193250,194900,194900,199900,196950,199900,198200,198200,198500,199900,204950,209900,214900,215000,215000,215000,217500,225000,225000,228000,227950,229900,229000,239900,239900,239000,240000,240000,245000,247500
Canarsie,New York,NY,New York-Newark-Jersey City,Kings County,58,379000,379000,375000,379000,379000,379000,379000,379000,379000,379000,375000,374999,379000,429000,429000,429900,429000,429900,429000,419999,419999,419499.5,419999,429999,449000,439500,429450,439000,429450,429900,437000,432500,439000,439500,459000,459000,460000,444500,419000,429000,441730,462000,472499.5,469000,479950,499000,489900,499000,499000,499000,499000,499000,499000,499000,485000,469000,469000,429900,439000
White Haven-Coro Lake,Memphis,TN,Memphis,Shelby County,59,,,,,,,,,,,,,,,,,,,,,,,,,,57000,55900,52950,55000,52000,51900,52000,50000,53000,52950,54165.5,55125,54900,50787,54700,55900,57900,59900,59900,61250,63000,60000,62950,64900,62900,59505,64499.5,66750,67950,70000,69500,69900,68000,69000
Downtown,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,60,559000,574999.5,580000,598000,599999,629500,662500,675000,675000,670000,650000,659950,670000,675000,675000,689000,699000,684950,689500,654500,659000,669444,660000,660000,670000,672500,698000,707999.5,729000,729000,727000,709500,724444,748648,744449.5,767488,799000,899000,899000,889400,899000,948500,899000,898000,945000,947000,899000,919000,924500,906500,899000,923975,889000,899000,888444,869000,849000,848000,850000
Mid City,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,61,789000,795000,793217,789000,799450,829000,799000,799000,799450,799000,792000,799000,799450,849000,799900,790750,839000,859000,868000,874900,841250,897000,897000,879000,919500,929000,929000,978000,999999,1009000,1033500,1049000,1050000,1050000,1052500,1024000,999000,999250,992000,1097000,1149000,1099950,1149000,1070000,1069000,1049000,1095000,1097000,1049000,999000,1071750,1099000,1099500,1099000,1099000,1099000,1099000,1139000,1150000
Northwest,El Paso,TX,El Paso,El Paso County,62,219850,217865,219950,220910,224900,224900,219970,219567.5,220000,221990,224900,225000,224900,223475,227225,229900,231200,229000,229925,232925,229900,229900,230000,231650,230000,230000,229950,231850,232700,233000,234900,230000,225000,224900,225000,224671,228950,232537,235500,236138,237370,239000,237048.5,237300,236005,234950,238775,239900,245000,245000,247000,248950,248919,248975,248975,249995,252000,254950,255000
